"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"CANBK","EQ","03-Jun-2024","118.00","124.80","128.90","122.45","128.90","128.25","125.93","9,37,77,898","11,80,92,69,014.60","2,73,773","4,62,21,411","49.29"
"CANBK","EQ","04-Jun-2024","128.25","127.80","127.80","96.20","111.00","109.85","113.13","20,02,12,291","22,65,05,79,718.35","6,35,480","8,52,86,903","42.60"
"CANBK","EQ","05-Jun-2024","109.85","115.20","116.30","104.70","114.95","115.20","111.61","10,55,80,249","11,78,38,64,376.35","3,53,921","4,42,19,438","41.88"
"CANBK","EQ","06-Jun-2024","115.20","117.60","120.60","116.50","118.10","118.00","118.60","5,24,16,611","6,21,65,19,894.40","1,75,013","2,08,22,803","39.73"
"CANBK","EQ","07-Jun-2024","118.00","119.45","119.60","118.00","119.00","118.90","118.80","4,04,19,251","4,80,17,16,869.90","1,07,001","2,03,75,343","50.41"
"CANBK","EQ","10-Jun-2024","118.90","120.00","122.70","120.00","121.10","121.03","121.53","4,38,24,793","5,32,61,32,715.67","1,60,767","1,70,08,544","38.81"
"CANBK","EQ","11-Jun-2024","121.03","121.50","123.09","120.75","121.55","121.23","122.04","3,75,14,599","4,57,82,50,707.47","1,74,268","1,63,90,254","43.69"
"CANBK","EQ","12-Jun-2024","121.23","122.00","123.50","121.50","123.19","122.79","122.74","3,91,13,054","4,80,07,20,337.91","1,17,542","1,99,44,762","50.99"
"CANBK","EQ","13-Jun-2024","122.79","124.51","125.00","121.40","122.70","121.92","122.63","6,25,31,469","7,66,85,19,245.24","1,38,671","3,64,56,602","58.30"
"CANBK","EQ","14-Jun-2024","121.92","120.00","120.99","119.30","120.90","120.81","120.39","3,25,76,803","3,92,18,70,229.81","1,13,863","1,41,02,797","43.29"
